Taxa,Realm,Biome,N,N Traded,N Pet-Traded (%),N Product-Traded (%)
Bird,Panamanian,Tropical & Subtropical Moist Broadleaf Forests,1672,762,649 (38.82),349 (20.87)
Bird,Saharo-Arabian,Deserts & Xeric Shrublands,704,473,398 (56.53),378 (53.69)
Bird,Saharo-Arabian,Flooded Grasslands & Savannas,272,202,162 (59.56),181 (66.54)
Bird,Saharo-Arabian,"Mediterranean Forests, Woodlands & Scrub",376,279,222 (59.04),249 (66.22)
Bird,Saharo-Arabian,Montane Grasslands & Shrublands,652,440,389 (59.66),334 (51.23)
Bird,Saharo-Arabian,Temperate Broadleaf & Mixed Forests,309,225,196 (63.43),196 (63.43)
Bird,Saharo-Arabian,Temperate Conifer Forests,372,260,223 (59.95),218 (58.60)
Bird,Saharo-Arabian,"Temperate Grasslands, Savannas & Shrublands",253,181,152 (60.08),161 (63.64)
Bird,Saharo-Arabian,Tropical & Subtropical Coniferous Forests,313,211,198 (63.26),167 (53.35)
Bird,Sino-Japanese,Deserts & Xeric Shrublands,148,99,94 (63.51),72 (48.65)
Bird,Sino-Japanese,Flooded Grasslands & Savannas,172,133,121 (70.35),113 (65.70)
Bird,Sino-Japanese,Montane Grasslands & Shrublands,804,493,466 (57.96),317 (39.43)
Bird,Sino-Japanese,Temperate Broadleaf & Mixed Forests,950,618,577 (60.74),405 (42.63)
Bird,Sino-Japanese,Temperate Conifer Forests,883,549,516 (58.44),347 (39.30)
Bird,Sino-Japanese,Tropical & Subtropical Coniferous Forests,513,353,335 (65.30),234 (45.61)
Bird,Sino-Japanese,"Tropical & Subtropical Grasslands, Savannas & Shrublands",607,402,382 (62.93),258 (42.50)
Bird,Sino-Japanese,Tropical & Subtropical Moist Broadleaf Forests,931,592,558 (59.94),376 (40.39)
Mammal,Afrotropical,Deserts & Xeric Shrublands,415,128,58 (13.98),122 (29.40)
Mammal,Afrotropical,Flooded Grasslands & Savannas,362,125,53 (14.64),118 (32.60)
Mammal,Afrotropical,Mangroves,187,90,39 (20.86),85 (45.45)
Mammal,Afrotropical,"Mediterranean Forests, Woodlands & Scrub",120,52,23 (19.17),50 (41.67)
Mammal,Afrotropical,Montane Grasslands & Shrublands,522,162,68 (13.03),154 (29.50)
Mammal,Afrotropical,Tropical & Subtropical Dry Broadleaf Forests,141,61,26 (18.44),58 (41.13)
Mammal,Afrotropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",951,289,116 (12.20),274 (28.81)
Mammal,Afrotropical,Tropical & Subtropical Moist Broadleaf Forests,828,267,103 (12.44),254 (30.68)
Mammal,Australian,Deserts & Xeric Shrublands,104,21,1 (0.96),16 (15.38)
Mammal,Australian,"Mediterranean Forests, Woodlands & Scrub",105,21,2 (1.90),17 (16.19)
Mammal,Australian,Montane Grasslands & Shrublands,54,12,2 (3.70),12 (22.22)
Mammal,Australian,Temperate Broadleaf & Mixed Forests,119,23,2 (1.68),21 (17.65)
Mammal,Australian,"Temperate Grasslands, Savannas & Shrublands",96,20,2 (2.08),19 (19.79)
Mammal,Australian,"Tropical & Subtropical Grasslands, Savannas & Shrublands",201,31,3 (1.49),28 (13.93)
Mammal,Australian,Tropical & Subtropical Moist Broadleaf Forests,109,21,1 (0.92),20 (18.35)
Mammal,Madagascan,Deserts & Xeric Shrublands,63,17,7 (11.11),14 (22.22)
Mammal,Madagascan,Tropical & Subtropical Dry Broadleaf Forests,123,44,17 (13.82),34 (27.64)
Mammal,Madagascan,Tropical & Subtropical Moist Broadleaf Forests,162,59,24 (14.81),43 (26.54)
Mammal,Nearctic,Boreal Forests/Taiga,105,41,12 (11.43),41 (39.05)
Mammal,Nearctic,Deserts & Xeric Shrublands,405,67,29 (7.16),66 (16.30)
Mammal,Nearctic,Flooded Grasslands & Savannas,43,17,6 (13.95),17 (39.53)
Mammal,Nearctic,Mangroves,80,20,12 (15.00),20 (25.00)
Mammal,Nearctic,"Mediterranean Forests, Woodlands & Scrub",132,32,11 (8.33),32 (24.24)
Mammal,Nearctic,Temperate Broadleaf & Mixed Forests,181,45,12 (6.63),46 (25.41)
Mammal,Nearctic,Temperate Conifer Forests,303,57,17 (5.61),58 (19.14)
Mammal,Nearctic,"Temperate Grasslands, Savannas & Shrublands",240,53,16 (6.67),54 (22.50)
Mammal,Nearctic,Tropical & Subtropical Coniferous Forests,300,50,25 (8.33),49 (16.33)
Mammal,Nearctic,Tropical & Subtropical Dry Broadleaf Forests,294,49,24 (8.16),48 (16.33)
Mammal,Nearctic,"Tropical & Subtropical Grasslands, Savannas & Shrublands",99,33,12 (12.12),32 (32.32)
Mammal,Nearctic,Tropical & Subtropical Moist Broadleaf Forests,212,40,22 (10.38),39 (18.40)
Mammal,Nearctic,Tundra,74,31,11 (14.86),31 (41.89)
Mammal,Neotropical,Deserts & Xeric Shrublands,428,88,51 (11.92),85 (19.86)
Mammal,Neotropical,Flooded Grasslands & Savannas,302,59,39 (12.91),55 (18.21)
Mammal,Neotropical,Mangroves,420,80,49 (11.67),77 (18.33)
Mammal,Neotropical,"Mediterranean Forests, Woodlands & Scrub",49,18,11 (22.45),17 (34.69)
Mammal,Neotropical,Montane Grasslands & Shrublands,520,95,58 (11.15),89 (17.12)
Mammal,Neotropical,Temperate Broadleaf & Mixed Forests,78,23,12 (15.38),22 (28.21)
Mammal,Neotropical,"Temperate Grasslands, Savannas & Shrublands",170,40,25 (14.71),40 (23.53)
Mammal,Neotropical,Tropical & Subtropical Dry Broadleaf Forests,583,103,64 (10.98),96 (16.47)
Mammal,Neotropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",708,134,83 (11.72),124 (17.51)
Mammal,Neotropical,Tropical & Subtropical Moist Broadleaf Forests,1009,198,124 (12.29),178 (17.64)
Mammal,Oceanina,Mangroves,63,14,4 (6.35),14 (22.22)
Mammal,Oceanina,Montane Grasslands & Shrublands,95,18,3 (3.16),18 (18.95)
Mammal,Oceanina,Tropical & Subtropical Dry Broadleaf Forests,13,4,0 (0.00),5 (38.46)
Mammal,Oceanina,"Tropical & Subtropical Grasslands, Savannas & Shrublands",66,15,2 (3.03),15 (22.73)
Mammal,Oceanina,Tropical & Subtropical Moist Broadleaf Forests,320,60,11 (3.44),60 (18.75)
Mammal,Oriental,Deserts & Xeric Shrublands,193,81,48 (24.87),82 (42.49)
Mammal,Oriental,Mangroves,255,128,68 (26.67),124 (48.63)
Mammal,Oriental,Montane Grasslands & Shrublands,115,72,36 (31.30),71 (61.74)
Mammal,Oriental,Temperate Broadleaf & Mixed Forests,248,126,59 (23.79),124 (50.00)
Mammal,Oriental,Temperate Conifer Forests,264,124,58 (21.97),123 (46.59)
Mammal,Oriental,Tropical & Subtropical Coniferous Forests,297,134,64 (21.55),131 (44.11)
Mammal,Oriental,Tropical & Subtropical Dry Broadleaf Forests,419,181,89 (21.24),178 (42.48)
Mammal,Oriental,"Tropical & Subtropical Grasslands, Savannas & Shrublands",136,72,41 (30.15),71 (52.21)
Mammal,Oriental,Tropical & Subtropical Moist Broadleaf Forests,1022,361,160 (15.66),337 (32.97)
Mammal,Palearctic,Boreal Forests/Taiga,204,73,25 (12.25),72 (35.29)
Mammal,Palearctic,Deserts & Xeric Shrublands,350,105,38 (10.86),105 (30.00)
Mammal,Palearctic,Flooded Grasslands & Savannas,87,35,15 (17.24),35 (40.23)
Mammal,Palearctic,"Mediterranean Forests, Woodlands & Scrub",169,48,21 (12.43),49 (28.99)
Mammal,Palearctic,Montane Grasslands & Shrublands,338,104,37 (10.95),104 (30.77)
Mammal,Palearctic,Temperate Broadleaf & Mixed Forests,444,128,40 (9.01),128 (28.83)
Mammal,Palearctic,Temperate Conifer Forests,357,101,31 (8.68),102 (28.57)
Mammal,Palearctic,"Temperate Grasslands, Savannas & Shrublands",338,88,31 (9.17),89 (26.33)
Mammal,Palearctic,Tundra,134,52,18 (13.43),52 (38.81)
Mammal,Panamanian,Deserts & Xeric Shrublands,161,38,25 (15.53),36 (22.36)
Mammal,Panamanian,Mangroves,169,40,29 (17.16),37 (21.89)
Mammal,Panamanian,Montane Grasslands & Shrublands,216,40,25 (11.57),39 (18.06)
Mammal,Panamanian,Tropical & Subtropical Coniferous Forests,302,48,29 (9.60),45 (14.90)
Mammal,Panamanian,Tropical & Subtropical Dry Broadleaf Forests,440,71,41 (9.32),66 (15.00)
Mammal,Panamanian,Tropical & Subtropical Moist Broadleaf Forests,492,77,45 (9.15),71 (14.43)
Mammal,Saharo-Arabian,Deserts & Xeric Shrublands,309,96,53 (17.15),97 (31.39)
Mammal,Saharo-Arabian,Flooded Grasslands & Savannas,112,37,20 (17.86),38 (33.93)
Mammal,Saharo-Arabian,"Mediterranean Forests, Woodlands & Scrub",171,51,25 (14.62),52 (30.41)
Mammal,Saharo-Arabian,Montane Grasslands & Shrublands,233,93,46 (19.74),92 (39.48)
Mammal,Saharo-Arabian,Temperate Broadleaf & Mixed Forests,124,42,18 (14.52),43 (34.68)
Mammal,Saharo-Arabian,Temperate Conifer Forests,143,57,29 (20.28),59 (41.26)
Mammal,Saharo-Arabian,"Temperate Grasslands, Savannas & Shrublands",108,35,15 (13.89),37 (34.26)
Mammal,Saharo-Arabian,Tropical & Subtropical Coniferous Forests,82,34,24 (29.27),34 (41.46)
Mammal,Sino-Japanese,Deserts & Xeric Shrublands,57,29,10 (17.54),29 (50.88)
Mammal,Sino-Japanese,Flooded Grasslands & Savannas,34,11,5 (14.71),11 (32.35)
Mammal,Sino-Japanese,Montane Grasslands & Shrublands,328,134,53 (16.16),134 (40.85)
Mammal,Sino-Japanese,Temperate Broadleaf & Mixed Forests,391,146,58 (14.83),146 (37.34)
Mammal,Sino-Japanese,Temperate Conifer Forests,348,135,52 (14.94),135 (38.79)
Mammal,Sino-Japanese,Tropical & Subtropical Coniferous Forests,106,57,35 (33.02),57 (53.77)
Mammal,Sino-Japanese,"Tropical & Subtropical Grasslands, Savannas & Shrublands",162,82,37 (22.84),79 (48.77)
Mammal,Sino-Japanese,Tropical & Subtropical Moist Broadleaf Forests,330,143,61 (18.48),141 (42.73)
Reptile,Afrotropical,Deserts & Xeric Shrublands,607,103,75 (12.36),43 (7.08)
Reptile,Afrotropical,Flooded Grasslands & Savannas,366,40,26 (7.10),17 (4.64)
Reptile,Afrotropical,Mangroves,170,17,9 (5.29),7 (4.12)
Reptile,Afrotropical,"Mediterranean Forests, Woodlands & Scrub",130,29,23 (17.69),13 (10.00)
Reptile,Afrotropical,Montane Grasslands & Shrublands,585,85,59 (10.09),47 (8.03)
Reptile,Afrotropical,Tropical & Subtropical Dry Broadleaf Forests,76,4,2 (2.63),1 (1.32)
Reptile,Afrotropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1135,172,115 (10.13),81 (7.14)
Reptile,Afrotropical,Tropical & Subtropical Moist Broadleaf Forests,805,120,93 (11.55),69 (8.57)
Reptile,Australian,Deserts & Xeric Shrublands,455,98,95 (20.88),11 (2.42)
Reptile,Australian,"Mediterranean Forests, Woodlands & Scrub",319,72,69 (21.63),7 (2.19)
Reptile,Australian,Montane Grasslands & Shrublands,95,29,27 (28.42),4 (4.21)
Reptile,Australian,Temperate Broadleaf & Mixed Forests,277,71,63 (22.74),7 (2.53)
Reptile,Australian,"Temperate Grasslands, Savannas & Shrublands",223,66,64 (28.70),9 (4.04)
Reptile,Australian,"Tropical & Subtropical Grasslands, Savannas & Shrublands",567,127,121 (21.34),21 (3.70)
Reptile,Australian,Tropical & Subtropical Moist Broadleaf Forests,214,58,52 (24.30),8 (3.74)
Reptile,Madagascan,Deserts & Xeric Shrublands,106,40,40 (37.74),25 (23.58)
Reptile,Madagascan,Tropical & Subtropical Dry Broadleaf Forests,208,90,74 (35.58),65 (31.25)
Reptile,Madagascan,Tropical & Subtropical Moist Broadleaf Forests,289,128,105 (36.33),94 (32.53)
Reptile,Nearctic,Boreal Forests/Taiga,5,0,0 (0.00),0 (0.00)
